"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","Bias_W","Bias_P","W_Corr","P_Corr","Iterations","MSE_W_P"
"../Scripts/DATA-R-P-Sparse",10,500,0.8,1,106,2,0.140718591363646,0.859279932884144,0.9,31.4939855517315,31.4939835785849,0.455313930640502,0.455312963588658,0.789976471661419,0.789977504960035,53.8,4.05966348641617e-11
"../Scripts/DATA-R-P-Sparse",100,100,0,0.8,74,2,0.192826118015263,0.807173884180127,0.995,3.36904322095354,3.36904204545084,-0.0625958825254027,-0.0625958731781616,0.936651430400204,0.936651327217541,47.4,2.24814947837601e-12
"../Scripts/DATA-R-P-Sparse",100,100,0,1,92,2,2.91432453925318e-07,0.999999707896627,0.995,3.31099979653732,3.31099979669564,0.011402251788315,0.0114022526167189,0.999944512359112,0.99994451193488,102,1.45587307359157e-14
"../Scripts/DATA-R-P-Sparse",100,100,0.5,0.8,80,2,0.19403819393791,0.805961942400282,1,3.08170100067356,3.08170097594267,-0.0258947497729991,-0.0258946664370249,0.998646115898899,0.998646113083231,26.8,9.98510303386534e-11
"../Scripts/DATA-R-P-Sparse",100,100,0.5,1,98,2,0.00881196393590933,0.992089314136258,0.944,3.05267453989221,3.05247972984777,0.00707555487060749,0.00701632459796996,0.960804294277679,0.961482456890845,56,7.31663755984063e-06
"../Scripts/DATA-R-P-Sparse",100,100,0.8,0.8,86,2,0.197334545155925,0.802668183579271,1,2.1181656198764,2.11816530194506,-0.0210568534096225,-0.0210568242228207,0.99880187034005,0.998802045574684,21,3.09988042447586e-11
"../Scripts/DATA-R-P-Sparse",100,100,0.8,1,104,2,0.00362009961934783,0.996380252338567,1,2.05436160110223,2.05436155915912,0.0135240618062817,0.013524084626653,0.999172054832125,0.999172084198643,45.6,4.34826755890394e-13
"../Scripts/DATA-R-P-Sparse",100,500,0,0.8,77,2,0.195030179794703,0.804969822346842,0.995,9.34010720053676,9.3401027732202,0.0985697190382322,0.0985696745100863,0.993786644210918,0.993786583734321,16,1.32044310494305e-12
"../Scripts/DATA-R-P-Sparse",100,500,0,1,95,2,6.15309963776236e-08,0.99999993783555,0.995,9.55366271269273,9.55366271291521,-0.0770720564841587,-0.0770720610376135,0.999956980688802,0.999956980322891,102,2.04244033440984e-14
"../Scripts/DATA-R-P-Sparse",100,500,0.5,0.8,83,2,0.203571341058243,0.796428732294928,0.942,8.85944590251232,8.85944625574016,-0.0412819513626394,-0.0412821497521809,0.96056517559453,0.960564562348543,26.8,2.39265929391454e-11
"../Scripts/DATA-R-P-Sparse",100,500,0.5,1,101,2,0.000194529812135903,0.999805470866789,1,8.69321823181575,8.69321823089732,0.0540073224405883,0.0540073178178352,0.999854126037042,0.999854126750699,43.2,1.66439918006655e-14
"../Scripts/DATA-R-P-Sparse",100,500,0.8,0.8,89,2,0.274903970294822,0.725102803880106,0.932,6.24583761794051,6.24585017252223,-0.0122557248075602,-0.0122562199838648,0.850856090292073,0.850829656038428,22.4,1.40208825902451e-10
"../Scripts/DATA-R-P-Sparse",100,500,0.8,1,107,2,0.00400177296925839,0.9959986093688,1,5.91419230426183,5.91419222844929,-0.0796877081444255,-0.0796877066869077,0.998660720526833,0.998660774120776,32.2,4.03619439241478e-13
"../Scripts/DATA-R-P-Sparse",1000,100,0,0.8,75,2,0.195562051904633,0.804437948098664,0.9995,1.60342968100814,1.60342922914168,0.00558993320416168,0.00558993131210531,0.967477882398198,0.967477881903459,9,3.78332700209366e-14
"../Scripts/DATA-R-P-Sparse",1000,100,0,1,93,2,2.07741611566735e-10,0.999999999791316,0.9995,1.59482016624013,1.59482016623995,0.00451997718877064,0.00451997717444475,0.999997530856624,0.999997530858795,102,1.33539661123262e-18
"../Scripts/DATA-R-P-Sparse",1000,100,0.5,0.8,81,2,0.197550446713483,0.80244990961683,1,1.48952431362968,1.48952430759331,0.0162123415736531,0.016212357755829,0.998689714328981,0.998689659311578,32.8,3.24436328176527e-12
"../Scripts/DATA-R-P-Sparse",1000,100,0.5,1,99,2,3.09933285794016e-05,0.999969006729934,1,1.49635805530919,1.49635805528899,0.0107681530161649,0.0107681533095216,0.999975511276572,0.99997551140873,39.2,1.0746533520845e-15
"../Scripts/DATA-R-P-Sparse",1000,100,0.8,0.8,87,2,0.19844543941098,0.801555058257335,1,1.02391088676515,1.0239108767682,0.0162849750787602,0.0162850174606707,0.999455142649701,0.999455150260425,21.2,2.33570543380363e-12
"../Scripts/DATA-R-P-Sparse",1000,100,0.8,1,105,2,0.000693524910467899,0.999306498777144,1,1.02439131970365,1.02439131905203,-0.0167067249474185,-0.0167067236955269,0.999795594130878,0.999795597464098,35.6,7.41284532355773e-15
"../Scripts/DATA-R-P-Sparse",1000,500,0,0.8,78,2,0.198930569563917,0.801069430454677,0.9995,2.75613357240199,2.75613295651376,-0.00822572151322297,-0.00822572134796869,0.998691922830159,0.99869192084597,9,4.05508562637739e-14
"../Scripts/DATA-R-P-Sparse",1000,500,0,1,96,2,7.6088413256378e-11,0.999999999923763,0.9995,2.75546698865054,2.75546698865059,-0.0100247387501348,-0.0100247387491754,0.999998253782828,0.99999825378231,102,1.07751601215132e-19
"../Scripts/DATA-R-P-Sparse",1000,500,0.5,0.8,84,2,0.199169039256588,0.800830976411816,1,2.55223758378787,2.55223758736865,0.0231616097290612,0.0231615953826636,0.999720924510733,0.999720887538643,47,2.21177694108598e-12
"../Scripts/DATA-R-P-Sparse",1000,500,0.5,1,102,2,2.70657259476843e-05,0.999972934229962,1,2.54835426828741,2.54835426827402,0.00603104128369351,0.00603104124087131,0.999977512391789,0.999977512431926,41.6,1.23435290121957e-15
"../Scripts/DATA-R-P-Sparse",1000,500,0.8,0.8,90,2,0.199542145133742,0.800458142531781,1,1.7734084842372,1.77340847336424,-0.0111335181450683,-0.0111335492417422,0.999864912922462,0.999864945907802,20.2,2.7350067578474e-12
"../Scripts/DATA-R-P-Sparse",1000,500,0.8,1,108,2,0.000275566278877027,0.999724445405511,1,1.77963351940269,1.77963351897532,0.0144631482610922,0.014463148758961,0.999908964191837,0.999908966018656,34.4,3.67234687059947e-15
"../Scripts/DATA-R-W-Sparse",10,100,0,0.8,73,2,0.152791043925163,0.847208412309772,0.95,0.0106623817272523,0.0106626003253487,0.00724920005922418,0.00724723887354486,0.950799605041269,0.950799377648369,72.6,3.36405576245809e-10
"../Scripts/DATA-R-W-Sparse",10,100,0,1,91,2,3.89385935348643e-05,0.999962969114157,0.95,0.00168250839731121,0.00168174700236774,0.00299366829383859,0.00298701789296539,0.991689192217527,0.991691535743538,102,4.06555290917215e-09
"../Scripts/DATA-R-W-Sparse",10,100,0.5,0.8,79,2,0.180031707490722,0.823232131037029,0.9,0.0248910712570607,0.0248640186632346,-0.0201125817306429,-0.0205290490331189,0.884559881317274,0.884690603896545,42.2,0.000551853232712792
"../Scripts/DATA-R-W-Sparse",10,100,0.5,1,97,2,0.0266899207534749,0.97364859785333,0.92,0.0141822531569376,0.0141510071001864,0.00447565838757341,0.00449889157781677,0.932446137943457,0.932653225364328,48.6,1.00818193739513e-06
"../Scripts/DATA-R-W-Sparse",10,100,0.8,0.8,85,2,0.189683525343465,0.810109670240108,0.92,0.0249075464250011,0.0249189208624227,-0.00540086797899125,-0.0052024874201825,0.999820686043261,0.87667066433818,35,1.33881573159894e-05
"../Scripts/DATA-R-W-Sparse",10,100,0.8,1,103,2,0.0924386091768192,0.907566684110905,0.96,0.0237473229948727,0.0237457185575184,-0.0328096399097746,-0.0328075985080019,0.907396645045328,0.907401483577222,87.4,7.7394349754534e-11
"../Scripts/DATA-R-W-Sparse",10,500,0,0.8,76,2,0.158799130025443,0.841200285422753,0.95,0.00220991983400583,0.0022100374336587,0.00019723807855906,0.000197595927829845,0.988843653395122,0.988842855356186,94.2,3.5300573934205e-10
"../Scripts/DATA-R-W-Sparse",10,500,0,1,94,2,5.81211230901887e-06,0.999993855652061,0.95,0.0023473169449079,0.00234775026667308,0.00149608910738639,0.00149920186451716,0.988206349688666,0.988203471801053,102,6.77117173960815e-10
"../Scripts/DATA-R-W-Sparse",10,500,0.5,0.8,82,2,0.189774004584611,0.810227016094281,0.82,0.0246508072628575,0.0246512101523945,0.0183342019555806,0.0183361704210437,0.878215738822235,0.878213595118455,48.4,1.87570794673569e-10
"../Scripts/DATA-R-W-Sparse",10,500,0.5,1,100,2,0.00939490273245752,0.990605193047612,0.94,0.00437606249221556,0.0043765817985027,0.0140810854819906,0.0140837027721288,0.978085784718829,0.978083846379505,33.4,1.52978702202362e-10
"../Scripts/DATA-R-W-Sparse",10,500,0.8,0.8,88,2,0.164681126326028,0.8353187496085,0.98,0.00411307740532348,0.00411307844796999,-0.00836861237565019,-0.00836637382354645,0.981585923103314,0.981586099581506,18,2.4290561349026e-10
