"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","VAF","Recovery_Rate","MSE_W","MSE_P","Bias_W","Bias_P","W_Corr","P_Corr","MSE_W_P"
"../Scripts/DATA-R-P-Sparse",100,100,0.8,0.8,14,2,0.808538127501832,0.98,0.00881240629637399,2.10936725542241,-0.00863445699207727,0.16505940891461,0.950233699482748,0.953496405991028,0.000114339951171109
"../Scripts/DATA-R-P-Sparse",100,500,0,0.8,5,2,0.805351101197957,1,0.00937687363855639,9.34556489338127,0.00441754612681646,-0.134399448308141,0.999278201549686,0.999278652059999,3.25865900318221e-09
"../Scripts/DATA-R-P-Sparse",100,500,0,1,23,2,1,1,0.00938195621881529,9.51970755899183,0.0116817086894062,-0.371895710020596,0.999827426910742,0.999827426916998,3.50463807879381e-15
"../Scripts/DATA-R-P-Sparse",100,500,0.5,0.8,11,2,0.806265286478837,0.96,0.00947269056345257,9.00153056135158,0.00114635154381255,-0.0860527482827101,0.82882627573985,0.829101364732023,9.33861719203772e-06
"../Scripts/DATA-R-P-Sparse",100,500,0.8,0.8,17,2,0.805317233768051,1,0.00939632939550586,5.63285918665373,-0.00224462663526176,-0.0449355192369999,0.752135811241795,0.75190762039012,9.52886880051766e-06
"../Scripts/DATA-R-P-Sparse",1000,100,0,0.8,3,2,0.804308335592157,1,0.000952613205717019,1.59934973813443,0.000226515124068135,-0.00831482045146019,0.982981031813656,0.982978496666068,1.13895556419132e-09
"../Scripts/DATA-R-P-Sparse",1000,100,0,1,21,2,1,1,0.000960430384118568,1.61461832126064,-0.000208340952691651,0.00349488399809542,0.823396672062993,0.823396672054942,8.64435650846547e-18
"../Scripts/DATA-R-P-Sparse",1000,100,0.5,0.8,9,2,0.804557132379927,0.936,0.000951395499735441,1.48742035085686,0.000151922399995965,0.00261794361242452,0.973442078156018,0.975002960632995,4.52681647443465e-06
"../Scripts/DATA-R-P-Sparse",1000,100,0.8,0.8,15,2,0.804245346476418,0.885,0.000942014659618999,1.02232406166778,-0.000365933824558516,0.0367559179079718,0.970255921228483,0.969829308062421,4.50306924116985e-06
"../Scripts/DATA-R-P-Sparse",1000,500,0,0.8,6,2,0.800835815920792,1,0.000966332152784202,2.76245625487847,0.000586664303907001,-0.0284489211850025,0.909392909880403,0.909394502284578,2.25533695949823e-09
"../Scripts/DATA-R-P-Sparse",1000,500,0,1,24,2,1,1,0.000963277054002824,2.79079850435817,0.0015647056066108,-0.087208003962527,0.997605197889583,0.997605197928938,3.81498951032189e-16
"../Scripts/DATA-R-P-Sparse",1000,500,0.5,0.8,12,2,0.801472502553244,0.87,0.000966953918886563,2.57254814885982,0.00019983746039058,-0.0450242637521354,0.861868901756763,0.861911770637914,3.31512569286997e-07
"../Scripts/DATA-R-P-Sparse",1000,500,0.8,0.8,18,2,0.801032282357942,0.674,0.000963748872874928,1.79269273504754,0.000447067945405929,-0.0176714256273999,0.79327314057677,0.793228747430486,4.54666841537784e-07
"../Scripts/DATA-R-W-Sparse",10,100,0,0.8,73,2,0.841921413665899,1,0.00472365216591649,0.00472892023065348,-0.0072840375318756,-0.00710897508235201,0.976306208413778,0.976252805606016,5.95169184773337e-06
"../Scripts/DATA-R-W-Sparse",10,100,0,1,91,2,1,1,0.000356087687734276,0.000356087687734179,0.00359371565249,0.00359371632778199,0.998142581503753,0.998142581522312,1.01052454968039e-16
"../Scripts/DATA-R-W-Sparse",10,100,0.5,0.8,79,2,0.84184778573531,0.96,0.0146366768176946,0.0117258021817519,0.00423024811506907,0.0104787279369785,0.921670613618923,0.934230280361321,0.00407207262564401
"../Scripts/DATA-R-W-Sparse",10,100,0.5,1,97,2,0.995173593620921,0.76,0.0334551070379724,0.0231620266989904,-0.00259096328788042,-0.00771680464732378,0.830661804941853,0.883240331745262,0.011134061115731
"../Scripts/DATA-R-W-Sparse",10,100,0.8,0.8,85,2,0.84095284179038,0.98,0.0119696756711309,0.0054735549238428,-0.0104620523091231,-0.0167439300100023,0.931792998753128,0.972320843773276,0.00874255554787052
"../Scripts/DATA-R-W-Sparse",10,100,0.8,1,103,2,0.958167369665667,0.86,0.0526728646284996,0.0208146120533098,0.00216372979859508,-0.00176505536836289,0.752621463835178,0.895748160293473,0.0362353486190893
"../Scripts/DATA-R-W-Sparse",10,500,0,0.8,76,2,0.840537891621049,1,0.0247025605708539,0.0247022063129013,0.00453919601207988,0.00455590328393449,0.878776556072603,0.878759564614641,1.29522991981113e-07
"../Scripts/DATA-R-W-Sparse",10,500,0,1,94,2,1,1,0.0106407222548137,0.0106407222548067,-0.000555631177452957,-0.000555630892511851,0.946900603600812,0.946900604212813,7.13367505259577e-15
"../Scripts/DATA-R-W-Sparse",10,500,0.5,0.8,82,2,0.839825682604052,0.92,0.0126416088483571,0.010276093606376,0.00986095306844963,0.00427183032687459,0.934355032210763,0.948533600718818,0.00267779734084608
