"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","Bias_W","Bias_P","W_Corr","P_Corr","Iterations","MSE_W_P"
"../Scripts/DATA-R-P-Sparse",10,500,0.8,1,106,2,0.134794457153861,0.867751634838076,0.9,31.5111029417806,31.4893465598995,0.456599632375662,0.461165318153199,0.835321269791983,0.841778622885073,34.2,0.0005092183983874
"../Scripts/DATA-R-P-Sparse",100,100,0,0.8,74,2,0.192825406635559,0.807175032860335,0.995,3.36895304805342,3.36894962414878,-0.0625986393541605,-0.0625989100268016,0.936888295647805,0.936896417874575,30.2,8.78991788691215e-09
"../Scripts/DATA-R-P-Sparse",100,100,0,1,92,2,1.0913017162662e-07,0.999999963163831,0.995,3.31099834268967,3.31099828357408,0.0114087978347542,0.0114092816011057,0.999948327513329,0.999948491665216,102,1.44588004450633e-09
"../Scripts/DATA-R-P-Sparse",100,100,0.5,0.8,80,2,0.202025583223158,0.803964301358838,0.922,3.10439972808088,3.10110881771262,-0.0218544142173491,-0.0240981857507841,0.936573616052388,0.943071562274199,55,0.000119797691639917
"../Scripts/DATA-R-P-Sparse",100,100,0.5,1,98,2,0.0165385664740046,0.994262871755198,0.822,3.08504367432249,3.07869288041987,0.00818176366144412,0.00788907921596196,0.869154647449607,0.883571512742898,66.6,0.000216028764584055
"../Scripts/DATA-R-P-Sparse",100,100,0.8,0.8,86,2,0.211869051198721,0.798982783286236,0.968,2.12780174559526,2.12165179083412,-0.0217701257976917,-0.0215670930020549,0.961041366910248,0.978519237718058,40.4,0.000217036689699135
"../Scripts/DATA-R-P-Sparse",100,100,0.8,1,104,2,0.0450349720945597,0.981622089336628,0.924,2.09057657203789,2.07743600270727,0.0155759031679889,0.014122132495576,0.875869238843382,0.90850303441458,51,0.000533141228623756
"../Scripts/DATA-R-P-Sparse",100,500,0,0.8,77,2,0.195030072060063,0.804969976809025,0.995,9.34008330558723,9.34008310387655,0.0985684912638632,0.0985670889859174,0.993821082728151,0.993821239094635,12.6,9.77381776072229e-10
"../Scripts/DATA-R-P-Sparse",100,500,0,1,95,2,3.91410335409319e-08,0.999999986762652,0.995,9.55366301599801,9.5536629887546,-0.0770711844344191,-0.0770718796257255,0.999956493231649,0.999956532784382,102,5.18073708217944e-10
"../Scripts/DATA-R-P-Sparse",100,500,0.5,0.8,83,2,0.202293668023441,0.801954593328036,0.904,8.86839058187667,8.8634186219601,-0.0391520748363951,-0.0405294336607272,0.942569062922867,0.950930685326894,55.2,8.4965227029546e-05
