n_variables,s_size,p_sparse,VAFx,n_components,Loss,FEV,Recovery_Rate,MSE_W,MSE_P,Bias_W,Bias_P,Var_W,Var_P,msd_W_P,W_Corr,P_Corr,Iterations,MSE_W_P
100,100,0.5,0.95,3,0.079723635,0.920280751,0.6182,0.009069231,3.051519111,-2.57E-05,0.004027372,0.009069355,3.052249574,4.76E-11,0.878913081,0.878909832,31.42,4.76E-11
100,100,0.5,1,2,0.014617014,0.985384184,0.7393,0.008999621,3.112784954,-8.01E-04,0.018618491,0.009004869,3.113813108,6.19E-12,0.95572459,0.955785278,35.63,6.19E-12
100,100,0.5,1,3,0.029133836,0.970868455,0.6168,0.00904579,3.052591321,4.42E-04,-0.00951832,0.009046166,3.052492001,2.77E-11,0.901384798,0.901408718,37.36,2.77E-11
100,100,0.8,0.8,2,0.208760668,0.791243893,0.8088,0.008772488,2.104937227,-1.57E-04,0.00314904,0.008773205,2.104939007,2.05E-10,0.977875314,0.979074128,21.32,2.05E-10
100,100,0.8,0.8,3,0.230370982,0.769632673,0.6802,0.008812629,2.084809378,2.84E-04,-0.002606391,0.008811061,2.084799615,1.15E-10,0.938489954,0.940325612,28.3,1.15E-10
100,100,0.8,0.95,2,0.061599419,0.938402552,0.8074,0.008762,2.084424015,5.23E-04,-0.009825937,0.008768957,2.086319339,1.70E-11,0.982900148,0.984265623,24.66,1.70E-11
100,100,0.8,0.95,3,0.075230671,0.924771955,0.6806,0.008773287,2.049804476,-6.09E-04,0.004390952,0.00877257,2.049289361,4.46E-11,0.962121696,0.964728677,31.46,4.46E-11
100,100,0.8,1,2,0.032978524,0.967022636,0.806,0.00880187,2.119205733,0.001524843,-0.025521696,0.008792564,2.116542421,2.65E-11,0.956893179,0.958079596,31.94,2.65E-11
100,100,0.8,1,3,0.02962122,0.970380043,0.6782,0.008779681,2.062019336,5.61E-04,-0.009166156,0.00878163,2.062075827,2.09E-11,0.960376096,0.96277199,37.18,2.09E-11
100,500,0,0.8,2,0.195216784,0.804783179,1,0.009394201,9.511196266,6.71E-04,-0.020171265,0.009393716,9.507623917,3.39E-10,0.979266074,0.979266081,9.08,3.39E-10
100,500,0,0.8,3,0.192877951,0.807122017,1,0.009401316,9.343403225,6.00E-04,-0.018646163,0.00940165,9.341445346,2.92E-10,0.959239038,0.959239035,9.26,2.92E-10
100,500,0,0.95,2,0.048800037,0.951199951,1,0.009385421,9.491586622,4.18E-05,-4.35E-04,0.009384482,9.491106762,9.17E-11,0.992702651,0.992702653,13.63,9.17E-11
100,500,0,0.95,3,0.048233511,0.951766458,1,0.009386094,9.303415471,8.39E-04,-0.024516226,0.009382203,9.298576531,2.38E-10,0.981985402,0.981985406,13.59,2.38E-10
100,500,0,1,2,2.43E-31,1,1,0.009379607,9.447704629,5.72E-04,-0.018050907,0.009384337,9.452571041,7.27E-34,0.999998001,0.999998001,102,7.27E-34
100,500,0,1,3,2.77E-31,1,1,0.009374662,9.294219597,-3.58E-04,0.011575114,0.009373614,9.293054212,6.93E-34,0.999995554,0.999995554,102,6.93E-34
100,500,0.5,0.8,2,0.218607842,0.781395623,0.7479,0.009420906,8.780498768,-3.37E-04,0.011380521,0.009425244,8.783723275,6.58E-11,0.899188173,0.899257232,24.68,6.58E-11
100,500,0.5,0.8,3,0.227248885,0.77275565,0.625,0.009458681,8.677319646,-6.40E-04,0.00750435,0.009459282,8.6835553,3.21E-10,0.834813415,0.834809286,25.77,3.21E-10
100,500,0.5,0.95,2,0.078404278,0.921598774,0.7439,0.009423017,8.800074738,6.95E-06,-0.002609742,0.009420601,8.799245854,3.48E-11,0.897086697,0.897103285,26.44,3.48E-11
100,500,0.5,0.95,3,0.086733704,0.913272619,0.6171,0.009453638,8.698135629,1.79E-04,-0.005821501,0.009454931,8.69943871,1.33E-04,0.843879398,0.843994991,31.83,1.33E-04
100,500,0.5,1,2,0.033114361,0.966889684,0.7407,0.009426744,8.774614187,5.81E-04,-0.023417598,0.009430703,8.784839632,1.99E-11,0.88988395,0.889906962,33.97,1.99E-11
100,500,0.5,1,3,0.046572307,0.953434161,0.6196,0.009471127,8.741301575,-2.62E-04,0.024355532,0.009473398,8.740314922,6.80E-11,0.818472986,0.818649453,31.59,6.80E-11
100,500,0.8,0.8,2,0.218030398,0.781972679,0.8195,0.009252604,5.95806973,5.28E-04,-0.01629155,0.009256678,5.959868999,1.40E-10,0.964394599,0.965330054,21.08,1.40E-10
100,500,0.8,0.8,3,0.229370869,0.770632114,0.6842,0.009268948,5.93657856,1.25E-04,-0.008326476,0.009273392,5.940825504,1.18E-09,0.93780507,0.939861521,26.89,1.18E-09
100,500,0.8,0.95,2,0.071155449,0.928846504,0.8182,0.009249264,6.005593632,4.99E-04,-0.011052607,0.009231844,5.994501503,2.90E-11,0.971876919,0.973085426,26.18,2.90E-11
100,500,0.8,0.95,3,0.076176795,0.923825645,0.6829,0.009246248,5.905601948,-1.77E-04,0.006891713,0.009252775,5.910130699,3.10E-11,0.964810837,0.967725176,33.1,3.10E-11
100,500,0.8,1,2,0.026469632,0.973530724,0.8225,0.009253827,6.024821939,-8.45E-04,0.017940469,0.009252684,6.02492476,1.49E-11,0.96690412,0.96808289,31.05,1.49E-11
